Date,Location,Zip code,Temperature High,Temperature Low,Average Temperature,Precipitation,Forecasted High Temperature,Forecasted Low Temperature
"March 1, 2019","Sugar Land, TX ",77498,66,47,56.5,0 in,,
"March 2, 2019","Sugar Land, TX ",77498,76,59,67.5,0 in,,
"March 3, 2019","Sugar Land, TX ",77498,67,44,55.5,0 in,,
"March 4, 2019","Sugar Land, TX ",77498,44,36,40.0,0 in,,
"March 5, 2019","Sugar Land, TX ",77498,50,31,40.5,0 in,,
"March 6, 2019","Sugar Land, TX ",77498,60,36,48.0,0 in,,
"March 7, 2019","Sugar Land, TX ",77498,73,54,63.5,0 in,,
"March 8, 2019","Sugar Land, TX ",77498,82,68,75.0,0 in,,
"March 9, 2019","Sugar Land, TX ",77498,82,69,75.5,0 in,,
"March 10, 2019","Sugar Land, TX ",77498,81,69,75.0,0 in,,
"March 11, 2019","Sugar Land, TX ",77498,83,71,77.0,0 in,,
"March 12, 2019","Sugar Land, TX ",77498,76,66,71.0,0 in,,
"March 13, 2019","Sugar Land, TX ",77498,76,71,73.5,0 in,,
"March 14, 2019","Sugar Land, TX ",77498,77,61,69.0,0 in,,
"March 15, 2019","Sugar Land, TX ",77498,64,53,58.5,0 in,,
"March 16, 2019","Sugar Land, TX ",77498,62,53,57.5,0 in,,
"March 17, 2019","Sugar Land, TX ",77498,66,50,58.0,0 in,,
"March 18, 2019","Sugar Land, TX ",77498,70,46,58.0,0 in,,
"March 20, 2019","Sugar Land, TX ",77498,,,,,73,50
"March 21, 2019","Sugar Land, TX ",77498,,,,,74,51
"March 22, 2019","Sugar Land, TX ",77498,,,,,73,48
"March 23, 2019","Sugar Land, TX ",77498,,,,,74,57
"March 24, 2019","Sugar Land, TX ",77498,,,,,72,61
